x,y,z,label
98,-55,27,0
32,59,-71,1
66,-36,-74,1
-57,93,-33,1
-23,-95,-21,0
42,-55,13,0
4,45,49,0
38,73,26,0
90,-68,-15,1
41,-6,54,0
-91,74,-23,0
-95,-44,19,0
44,-75,4,0
68,79,30,0
69,43,-91,1
99,-42,13,0
94,27,5,1
-35,-32,70,0
-81,-20,95,0
62,26,-57,1
80,78,-50,1
-41,70,73,0
6,-51,100,0
21,26,-77,1
23,-60,31,0
19,-66,-89,0
-60,78,-68,1
-10,59,34,0
-80,34,40,0
70,81,-27,1
-43,50,32,0
79,-28,84,0
-80,-84,-26,0
29,31,88,0
-54,-92,51,0
-63,-38,-28,0
-98,-71,-39,0
-6,-11,95,0
26,-46,42,0
-80,16,6,0
-25,-37,1,0
-83,15,15,0
-80,-6,88,0
-61,8,13,0
-76,-85,61,0
-42,99,-21,1
39,66,-59,1
22,-9,58,0
-90,-30,-53,0
76,-38,83,0
19,30,28,0
-64,-99,54,0
51,-57,71,0
10,-58,-31,0
64,77,0,1
22,-45,68,0
14,-91,75,0
66,-84,-8,0
17,69,71,0
99,60,76,0
66,-79,91,0
65,-12,28,0
-76,99,-42,1
-27,-73,-59,0
-91,-27,-80,0
43,-78,-89,0
-25,83,2,1
53,73,15,0
-8,21,57,0
-77,30,-65,0
-68,-57,-51,0
28,-92,90,0
33,26,60,0
-75,-63,79,0
57,-48,36,0
-77,90,-15,1
-53,-86,50,0
47,53,33,0
5,-45,66,0
67,36,-71,1
-51,-81,38,0
-53,-95,-43,0
18,-25,2,0
31,87,65,0
-60,56,88,0
43,59,35,0
11,47,35,0
-87,-57,-7,0
16,-80,49,0
23,-65,10,0
97,-24,1,1
54,80,79,0
-44,-28,79,0
19,78,78,0
-92,96,31,0
-14,-58,36,0
19,-84,-70,0
-85,-15,-90,0
65,-68,21,0
28,-77,90,0
